"time","global","region"
1579,61322,20293
1580,61320,20294
1581,61320,20294
1582,61320,20294
1583,61321,20293
1584,61322,20292
1585,61322,20293
1586,61323,20292
1587,61323,20292
1588,61323,20292
1589,61323,20292
1590,61323,20292
1591,61323,20292
1592,61323,20292
1593,61322,20292
1594,61323,20292
1595,61324,20290
1596,61323,20291
1597,61324,20291
1598,61324,20291
1599,61324,20291
1600,61324,20291
1601,61323,20291
1602,61324,20291
1603,61324,20291
1604,61323,20291
1605,61324,20291
1606,61324,20291
1607,61323,20292
1608,61323,20292
1609,61323,20292
1610,61322,20292
1611,61323,20292
1612,61322,20292
1613,61323,20292
1614,61323,20291
1615,61323,20292
1616,61323,20292
1617,61322,20292
1618,61323,20292
1619,61323,20291
1620,61324,20291
1621,61323,20291
1622,61323,20291
1623,61324,20291
1624,61324,20291
1625,61323,20292
1626,61323,20292
1627,61323,20292
1628,61323,20292
1629,61323,20292
1630,61323,20292
1631,61322,20292
1632,61323,20292
1633,61322,20292
1634,61324,20291
1635,61324,20291
1636,61324,20291
1637,61323,20291
1638,61325,20290
1639,61325,20290
1640,61324,20291
1641,61324,20291
1642,61323,20291
1643,61324,20291
1644,61324,20291
1645,61324,20291
1646,61323,20291
1647,61324,20291
1648,61324,20291
1649,61323,20291
1650,61323,20292
1651,61321,20291
1652,61323,20292
1653,61322,20292
1654,61323,20292
1655,61323,20292
1656,61323,20292
1657,61321,20292
1658,61323,20292
1659,61323,20292
1660,61322,20293
1661,61322,20293
